username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2020-02-19 17:10;0;5;". @ HowardKurtz on Michael Bloomberg joining his first debate tonight, Bernie Sanders leading in latest national poll and backlash over President Trump commutations. Click here to listen & subscribe:http://ow.ly/Rw1u50yqG82";;@;;"1230253253885153281";https://twitter.com/foxnewsradio/status/1230253253885153281
;2020-02-19 16:23;0;7;"NEW # IllTellYouWhat podcast with @ DanaPerino and @ ChrisStirewalt available now! Listen on @ ApplePodcasts or click the link below. Don't forget to rate & review!http://ow.ly/mJ3J50yqT0s";;@ @ @;#;"1230241435007569923";https://twitter.com/foxnewsradio/status/1230241435007569923
;2020-02-19 14:15;2;6;"Nothing divides people like the Hawaiian pizza controversy. We ask Democratic presidential candidate Rep. @ TulsiGabbard if she is for or against pineapple on pizza. To hear her answer listen to today’s # FOXNewsRundownhttp://ow.ly/WMZ150ypTlI";;@;#;"1230209241111257088";https://twitter.com/foxnewsradio/status/1230209241111257088
;2020-02-19 13:15;3;8;". @ HowardKurtz on today's # MEDIABUZZMeter: •Barr considered resigning over Trump Tweets •Fallout from Trump commutations •Andrew Yang becomes CNN pundit Click here to listen & subscribe: http://ow.ly/xIw150yqG4x";;@;#;"1230194153667080192";https://twitter.com/foxnewsradio/status/1230194153667080192
;2020-02-19 11:15;69;132;"Democratic presidential candidate @ TulsiGabbard weighs in on @ MikeBloomberg being allowed to qualify for tonight’s debate in Nevada despite not being on the ballot for Saturday's caucuses. Listen to the full interview on today’s # FOXNewsRundown http://ow.ly/654r50ypTdR pic.twitter.com/DQDr6DoSFk";;@ @;#;"1230163941873061888";https://twitter.com/foxnewsradio/status/1230163941873061888
;2020-02-19 11:10;1;5;"Michael Bloomberg will debate for the first time tonight in the presidential race. http://foxrad.io/5mincast";;;;"1230162658369904640";https://twitter.com/foxnewsradio/status/1230162658369904640
;2020-02-19 11:00;6;17;""It's wrong!" Democratic presidential hopeful and Hawaii congresswoman @ TulsiGabbard joins The # FoxNewsRundown to weigh in on @ MikeBloomberg attending tonight's # debate ... Listen & subscribe:http://ow.ly/panP50yqmwP";;@ @;# #;"1230160261732065284";https://twitter.com/foxnewsradio/status/1230160261732065284
;2020-02-19 10:30;6;8;"“Atomic bomb,” a “petty baby” and a “backstabber”: @ RudyGiuliani weighs in on @ AmbJohnBolton’s yet-to-be released book. Listen and subscribe: http://ow.ly/9tQ050ypTav pic.twitter.com/VFh66wSkFf";;@ @;;"1230152660646535168";https://twitter.com/foxnewsradio/status/1230152660646535168
;2020-02-19 10:10;1;13;"The Justice Department says Attorney General Barr isn't going anywhere, despite reports he considering quitting. http://foxrad.io/5mincast";;;;"1230147565452132352";https://twitter.com/foxnewsradio/status/1230147565452132352
;2020-02-19 09:40;15;51;". @ TulsiGabbard joins today’s # FOXNewsRundown to talk about her presidential campaign, how using labels like “socialist” and “progressive” further divides the party and if she would accept a Cabinet position from @ realDonaldTrump Listen and subscribe:http://ow.ly/9vp650ypT5T";;@ @;#;"1230140012227940353";https://twitter.com/foxnewsradio/status/1230140012227940353
;2020-02-19 09:10;0;8;"The Justice Department is pushing back on reports Attorney General William Barr is considering resigning. http://foxrad.io/5mincast";;;;"1230132464011612160";https://twitter.com/foxnewsradio/status/1230132464011612160
;2020-02-19 08:25;2;2;". @ RudyGiuliani joins The # FoxNewsRundown to discuss @ MikeBloomberg’s rise in the polls and the controversy surrounding his “stop-and-frisk” policy. Listen, rate and review:http://ow.ly/CyO050ypT2K";;@ @;#;"1230121130628931584";https://twitter.com/foxnewsradio/status/1230121130628931584
;2020-02-19 08:10;2;3;"Bernie Sanders continues to rise in polls for the Democratic race for the White House, as Michael Bloomberg debuts tonight at the debate in Las Vegas. http://foxrad.io/5mincast";;;;"1230117359525953536";https://twitter.com/foxnewsradio/status/1230117359525953536
;2020-02-19 07:35;1;4;"Today on the # FOXNewsRundown @ Rosenthalfox speaks to @ TulsiGabbard about her campaign and her thoughts on former NYC Mayor @ MikeBloomberg being allowed to qualify for tonight’s Democratic debate. Listen on: http://ow.ly/5Qzm50ypT0d";;@ @ @;#;"1230108542566268928";https://twitter.com/foxnewsradio/status/1230108542566268928
;2020-02-19 07:15;1;2;"Attorney General Barr is considering quitting over tweeting by President @ realDonaldTrump. http://foxrad.io/5mincast";;@;;"1230103514204049409";https://twitter.com/foxnewsradio/status/1230103514204049409
;2020-02-19 06:20;1;3;". @ RudyGiuliani is back with us on The # FoxNewsRundown and takes on @ MikeBloomberg @ AmbJohnBolton and # RogerStone. Click the link to listen now:http://ow.ly/v6xy50ypST2";;@ @ @;# #;"1230089667963490305";https://twitter.com/foxnewsradio/status/1230089667963490305
;2020-02-19 02:19;3;14;"Forrmer Illinois Gov. Rod Blagojevich is out of prison hours after his sentence for political corruption was commuted by President Trump. http://ow.ly/zwka50yq4V1";;;;"1230029048866385920";https://twitter.com/foxnewsradio/status/1230029048866385920
;2020-02-18 23:48;8;13;"Just days after the Attorney General complained about the President's tweeting, the Justice Department is denying reports that say William Barr is considering resigning. http://ow.ly/IZhC50yq2fP";;;;"1229991180571725824";https://twitter.com/foxnewsradio/status/1229991180571725824
;2020-02-18 21:10;1;11;"Blagoing Home: Former Illinois Gov. Rod Blagojevich released from prison after President @ realDonaldTrump commuted his sentence for corruption. http://ow.ly/LrqJ50ypZ2g";;@;;"1229951473691299846";https://twitter.com/foxnewsradio/status/1229951473691299846
;2020-02-18 20:50;1;11;"FNC Contributor Jessica Tarlov On 2020: “Forgone Conclusion” Trump Will Win, “I’ll Just Be Thrilled If He Doesn’t” http://dlvr.it/RQJTbF pic.twitter.com/3Es8EYwRhe";;;;"1229946341465313280";https://twitter.com/foxnewsradio/status/1229946341465313280
;2020-02-18 19:07;4;20;"President Trump @ realDonaldTrump continues to defend Attorney General William Barr amid calls for him to step down. http://ow.ly/RaqB50ypVoU";;@;;"1229920505320427521";https://twitter.com/foxnewsradio/status/1229920505320427521
;2020-02-18 17:41;4;73;"NEW episode of # TheCampaign podcast with @ BretBaier available now. Subscribe now on @ ApplePodcasts or click the link below:http://ow.ly/9kru50ypS94";;@ @;#;"1229898856688685056";https://twitter.com/foxnewsradio/status/1229898856688685056
;2020-02-18 17:10;3;5;". @ HowardKurtz on Michael Bloomberg qualifying for Wednesday's debate, Elizabeth Warren complaining that the media coverage of her is unfair and John Bolton saying his book has more on the Ukraine scandal. Click here to listen & subscribe:http://ow.ly/NyrL50ypCI7";;@;;"1229890862034845696";https://twitter.com/foxnewsradio/status/1229890862034845696
;2020-02-18 14:10;8;16;"President Trump commuted the prison sentence of former Illinois Gov. Rod Blagojevich. http://ow.ly/hRe050ypFr5";;;;"1229845563950223363";https://twitter.com/foxnewsradio/status/1229845563950223363
